Date,Min,Max,Min,Max,Min,Max
4/21/2020,7.7 °C,35.5 °C,28.6 %RH,100.0 %RH,6.4 °C,16.9 °C
4/22/2020,10.4 °C,36.6 °C,35.5 %RH,100.0 %RH,9.7 °C,18.9 °C
4/23/2020,11.1 °C,35.4 °C,33.1 %RH,100.0 %RH,10.8 °C,18.9 °C
4/24/2020,14.9 °C,30.3 °C,42.0 %RH,88.3 %RH,10.5 °C,17.5 °C
4/25/2020,15.0 °C,22.9 °C,0.0 %RH,100.0 %RH,-18.2 °C,22.4 °C
4/26/2020,11.3 °C,33.1 °C,0.0 %RH,100.0 %RH,-26.6 °C,18.6 °C
4/27/2020,15.1 °C,33.7 °C,35.2 %RH,100.0 %RH,12.7 °C,16.2 °C
4/28/2020,7.5 °C,27.3 °C,48.3 %RH,100.0 %RH,5.6 °C,16.9 °C
4/29/2020,7.9 °C,26.2 °C,26.3 %RH,75.8 %RH,2.8 °C,6.2 °C
4/30/2020,9.2 °C,26.1 °C,27.3 %RH,66.9 %RH,2.0 °C,6.8 °C
5/1/20,8.1 °C,28.5 °C,24.8 %RH,71.3 %RH,0.0 °C,7.3 °C
5/2/20,9.0 °C,32.0 °C,19.7 %RH,63.3 %RH,1.1 °C,8.0 °C
5/3/20,12.1 °C,34.8 °C,18.1 %RH,45.2 %RH,0.5 °C,7.5 °C
5/4/20,8.8 °C,31.6 °C,43.9 %RH,85.2 %RH,1.7 °C,19.4 °C
5/5/20,15.1 °C,24.0 °C,0.0 %RH,100.0 %RH,-39.8 °C,24.0 °C
5/6/20,9.4 °C,21.4 °C,0.0 %RH,100.0 %RH,-42.5 °C,16.0 °C
5/7/20,4.6 °C,20.6 °C,0.0 %RH,100.0 %RH,-42.5 °C,16.5 °C
5/8/20,7.3 °C,24.7 °C,0.0 %RH,100.0 %RH,-34.5 °C,18.4 °C
5/9/20,4.7 °C,23.8 °C,0.0 %RH,100.0 %RH,5.0 °C,11.5 °C
5/10/20,9.4 °C,27.9 °C,36.0 %RH,92.8 %RH,7.0 °C,12.9 °C
5/11/20,8.5 °C,28.8 °C,27.9 %RH,100.0 %RH,5.9 °C,11.6 °C
5/12/20,7.5 °C,28.2 °C,35.8 %RH,91.8 %RH,6.3 °C,12.2 °C
5/13/2020,11.4 °C,29.1 °C,25.0 %RH,76.2 %RH,4.9 °C,9.0 °C
5/14/2020,8.9 °C,30.0 °C,20.7 %RH,69.0 %RH,1.9 °C,5.7 °C
5/15/2020,7.3 °C,30.8 °C,18.1 %RH,86.1 %RH,0.5 °C,13.4 °C
5/16/2020,8.2 °C,29.2 °C,0.0 %RH,100.0 %RH,3.8 °C,13.8 °C
5/17/2020,10.5 °C,31.3 °C,18.6 %RH,87.4 %RH,2.6 °C,11.6 °C
5/18/2020,7.3 °C,23.4 °C,43.9 %RH,100.0 %RH,4.1 °C,11.8 °C
5/19/2020,5.7 °C,21.9 °C,36.0 %RH,88.3 %RH,3.3 °C,7.7 °C
5/20/2020,5.9 °C,23.7 °C,30.7 %RH,84.0 %RH,3.4 °C,7.0 °C
5/21/2020,6.2 °C,24.8 °C,34.1 %RH,95.1 %RH,2.7 °C,10.6 °C
5/22/2020,7.2 °C,26.6 °C,29.1 %RH,81.8 %RH,2.3 °C,10.0 °C
5/23/2020,7.9 °C,27.8 °C,23.8 %RH,73.1 %RH,0.9 °C,6.5 °C
5/24/2020,12.4 °C,22.4 °C,26.6 %RH,98.7 %RH,-6.3 °C,13.2 °C
5/25/2020,9.4 °C,17.9 °C,0.0 %RH,100.0 %RH,-27.7 °C,17.7 °C
5/26/2020,6.8 °C,21.9 °C,0.0 %RH,100.0 %RH,-28.2 °C,17.8 °C
5/27/2020,7.7 °C,21.5 °C,0.0 %RH,100.0 %RH,-13.4 °C,20.4 °C
5/28/2020,5.9 °C,21.9 °C,0.0 %RH,100.0 %RH,-35.3 °C,18.3 °C
5/29/2020,9.0 °C,21.8 °C,0.0 %RH,100.0 %RH,-35.3 °C,19.1 °C
5/30/2020,6.8 °C,19.6 °C,0.0 %RH,100.0 %RH,-26.5 °C,17.8 °C
5/31/2020,8.2 °C,22.2 °C,0.0 %RH,100.0 %RH,-6.6 °C,21.2 °C
6/1/20,6.9 °C,23.8 °C,0.0 %RH,100.0 %RH,-25.1 °C,21.1 °C
6/2/20,6.7 °C,23.0 °C,0.0 %RH,100.0 %RH,-25.1 °C,17.9 °C
6/3/20,9.2 °C,24.8 °C,0.0 %RH,100.0 %RH,9.6 °C,17.4 °C
6/4/20,7.7 °C,27.3 °C,0.0 %RH,100.0 %RH,-37.4 °C,18.2 °C
6/5/20,7.6 °C,28.3 °C,0.0 %RH,100.0 %RH,8.3 °C,15.4 °C
6/6/20,10.4 °C,27.4 °C,32.3 %RH,91.8 %RH,7.6 °C,12.0 °C
6/7/20,10.4 °C,25.3 °C,33.1 %RH,82.7 %RH,5.6 °C,9.3 °C
6/8/20,8.1 °C,24.7 °C,31.2 %RH,79.9 %RH,3.9 °C,8.4 °C
6/9/20,6.5 °C,25.7 °C,27.6 %RH,84.6 %RH,2.6 °C,6.9 °C
6/10/20,7.0 °C,27.0 °C,29.1 %RH,80.8 %RH,2.3 °C,8.1 °C
6/11/20,11.5 °C,25.0 °C,29.6 %RH,100.0 %RH,-0.9 °C,20.9 °C
6/12/20,6.6 °C,20.0 °C,0.0 %RH,100.0 %RH,-17.0 °C,20.0 °C
6/13/2020,4.5 °C,19.9 °C,0.0 %RH,100.0 %RH,-17.7 °C,15.2 °C
6/14/2020,5.7 °C,24.0 °C,0.0 %RH,100.0 %RH,-17.7 °C,17.2 °C
6/15/2020,6.1 °C,23.5 °C,0.0 %RH,100.0 %RH,-33.8 °C,16.7 °C
6/16/2020,6.0 °C,23.5 °C,0.0 %RH,100.0 %RH,2.6 °C,12.4 °C
6/17/2020,5.6 °C,25.7 °C,1.5 %RH,100.0 %RH,-36.0 °C,17.7 °C
6/18/2020,6.5 °C,18.9 °C,2.4 %RH,100.0 %RH,-34.2 °C,18.1 °C
6/19/2020,3.0 °C,18.3 °C,0.0 %RH,100.0 %RH,-44.1 °C,18.0 °C
6/20/2020,3.5 °C,22.3 °C,0.0 %RH,100.0 %RH,-41.1 °C,15.2 °C
6/21/2020,4.6 °C,24.9 °C,0.0 %RH,100.0 %RH,-31.5 °C,14.7 °C
6/22/2020,9.3 °C,25.2 °C,2.1 %RH,100.0 %RH,-34.0 °C,12.3 °C
6/23/2020,9.5 °C,19.6 °C,0.0 %RH,100.0 %RH,-36.5 °C,18.0 °C
6/24/2020,6.9 °C,20.6 °C,0.0 %RH,100.0 %RH,-33.3 °C,18.6 °C
6/25/2020,7.0 °C,23.0 °C,0.0 %RH,100.0 %RH,-36.8 °C,17.9 °C
6/26/2020,5.0 °C,21.5 °C,0.0 %RH,100.0 %RH,-25.5 °C,19.6 °C
6/27/2020,7.2 °C,22.3 °C,0.0 %RH,100.0 %RH,-31.6 °C,21.8 °C
6/28/2020,11.3 °C,22.9 °C,0.0 %RH,100.0 %RH,-18.9 °C,21.0 °C
6/29/2020,11.5 °C,18.7 °C,0.0 %RH,100.0 %RH,-9.5 °C,18.7 °C
6/30/2020,9.5 °C,20.0 °C,0.0 %RH,100.0 %RH,-2.7 °C,20.0 °C
7/1/20,8.3 °C,18.8 °C,0.0 %RH,100.0 %RH,-3.8 °C,17.1 °C
7/2/20,5.6 °C,17.2 °C,0.0 %RH,100.0 %RH,-29.8 °C,13.7 °C
7/3/20,4.8 °C,21.1 °C,0.0 %RH,100.0 %RH,-45.0 °C,14.1 °C
7/4/20,7.0 °C,24.2 °C,41.4 %RH,100.0 %RH,7.0 °C,12.4 °C
7/5/20,5.0 °C,27.6 °C,32.5 %RH,100.0 %RH,5.0 °C,15.4 °C
7/6/20,8.4 °C,21.5 °C,0.0 %RH,100.0 %RH,-30.3 °C,18.7 °C
7/7/20,4.9 °C,20.7 °C,0.0 %RH,100.0 %RH,-25.4 °C,13.0 °C
7/8/20,4.6 °C,21.7 °C,0.0 %RH,100.0 %RH,-25.8 °C,16.9 °C
7/9/20,1.8 °C,19.2 °C,0.0 %RH,100.0 %RH,-39.6 °C,14.8 °C
7/10/20,3.4 °C,19.2 °C,0.0 %RH,100.0 %RH,-48.1 °C,13.2 °C
7/11/20,2.4 °C,21.3 °C,36.3 %RH,100.0 %RH,2.4 °C,9.6 °C
7/12/20,3.6 °C,23.7 °C,25.8 %RH,82.4 %RH,-2.1 °C,4.6 °C
7/13/2020,4.5 °C,24.0 °C,40.1 %RH,100.0 %RH,-2.1 °C,15.9 °C
7/14/2020,9.3 °C,18.5 °C,0.0 %RH,100.0 %RH,-12.7 °C,17.9 °C
7/15/2020,3.7 °C,21.4 °C,0.0 %RH,100.0 %RH,-6.3 °C,19.7 °C
7/16/2020,5.7 °C,22.4 °C,0.0 %RH,100.0 %RH,-25.9 °C,20.1 °C
7/17/2020,5.0 °C,16.6 °C,0.0 %RH,100.0 %RH,-43.7 °C,16.6 °C
7/18/2020,2.7 °C,17.9 °C,0.0 %RH,100.0 %RH,-21.1 °C,16.8 °C
7/19/2020,4.0 °C,18.9 °C,0.0 %RH,100.0 %RH,-15.2 °C,18.9 °C
7/20/2020,4.5 °C,18.9 °C,0.0 %RH,100.0 %RH,-2.3 °C,15.2 °C
7/21/2020,4.2 °C,21.8 °C,0.0 %RH,100.0 %RH,-28.9 °C,16.5 °C
7/22/2020,5.5 °C,23.8 °C,0.0 %RH,100.0 %RH,-14.2 °C,18.6 °C
7/23/2020,6.2 °C,21.3 °C,0.0 %RH,100.0 %RH,-6.5 °C,18.5 °C
7/24/2020,3.2 °C,21.0 °C,0.0 %RH,100.0 %RH,-42.4 °C,14.6 °C
7/25/2020,3.5 °C,23.9 °C,0.0 %RH,100.0 %RH,-29.4 °C,11.4 °C
7/26/2020,5.2 °C,27.3 °C,0.0 %RH,100.0 %RH,-33.0 °C,18.7 °C
7/27/2020,5.4 °C,25.8 °C,0.0 %RH,100.0 %RH,-33.0 °C,13.4 °C
7/28/2020,8.3 °C,24.9 °C,0.0 %RH,100.0 %RH,-4.3 °C,19.2 °C
7/29/2020,3.8 °C,22.6 °C,0.0 %RH,100.0 %RH,-21.7 °C,14.4 °C
7/30/2020,5.2 °C,26.6 °C,0.0 %RH,100.0 %RH,-22.7 °C,13.2 °C
7/31/2020,4.6 °C,23.0 °C,7.0 %RH,100.0 %RH,-23.7 °C,16.6 °C
8/1/20,5.6 °C,23.0 °C,0.0 %RH,100.0 %RH,-29.4 °C,16.1 °C
8/2/20,5.7 °C,23.5 °C,0.0 %RH,100.0 %RH,-15.0 °C,14.8 °C
8/3/20,4.7 °C,18.1 °C,0.0 %RH,100.0 %RH,-40.4 °C,16.8 °C
8/4/20,5.9 °C,19.1 °C,0.0 %RH,100.0 %RH,-27.4 °C,17.2 °C
8/5/20,4.2 °C,20.0 °C,0.0 %RH,100.0 %RH,-33.0 °C,16.8 °C
8/6/20,4.5 °C,21.6 °C,0.0 %RH,100.0 %RH,-20.2 °C,16.1 °C
8/7/20,4.3 °C,20.6 °C,0.0 %RH,100.0 %RH,-19.9 °C,12.2 °C
8/8/20,6.7 °C,27.5 °C,33.3 %RH,94.4 %RH,5.8 °C,10.4 °C
8/9/20,10.4 °C,18.8 °C,4.9 %RH,100.0 %RH,-27.3 °C,13.0 °C
8/10/20,8.8 °C,17.6 °C,0.0 %RH,100.0 %RH,-9.2 °C,17.6 °C
8/11/20,9.9 °C,22.2 °C,0.0 %RH,100.0 %RH,-17.8 °C,22.2 °C
8/12/20,9.1 °C,21.6 °C,9.9 %RH,100.0 %RH,-15.3 °C,21.6 °C
8/13/2020,7.2 °C,23.4 °C,0.0 %RH,100.0 %RH,-18.6 °C,23.4 °C
8/14/2020,3.9 °C,23.3 °C,0.0 %RH,100.0 %RH,-30.2 °C,23.3 °C
8/15/2020,5.5 °C,23.3 °C,0.0 %RH,100.0 %RH,-40.3 °C,19.3 °C
8/16/2020,8.0 °C,19.6 °C,0.0 %RH,100.0 %RH,-18.7 °C,19.6 °C
8/17/2020,5.9 °C,21.7 °C,0.0 %RH,100.0 %RH,-8.2 °C,21.7 °C
8/18/2020,7.4 °C,24.3 °C,0.0 %RH,100.0 %RH,-31.2 °C,20.8 °C
8/19/2020,5.3 °C,22.1 °C,0.0 %RH,100.0 %RH,-31.2 °C,17.6 °C
8/20/2020,6.0 °C,24.5 °C,0.0 %RH,100.0 %RH,-29.5 °C,18.2 °C
8/21/2020,7.3 °C,23.2 °C,0.0 %RH,100.0 %RH,-42.8 °C,16.9 °C
8/22/2020,10.5 °C,16.4 °C,0.0 %RH,100.0 %RH,-17.8 °C,16.2 °C
8/23/2020,8.6 °C,30.1 °C,0.0 %RH,100.0 %RH,-30.4 °C,30.1 °C
8/24/2020,4.7 °C,27.8 °C,0.0 %RH,100.0 %RH,-39.1 °C,21.4 °C
8/25/2020,4.4 °C,30.9 °C,0.0 %RH,100.0 %RH,-40.1 °C,23.0 °C
8/26/2020,5.1 °C,30.6 °C,0.0 %RH,100.0 %RH,-26.3 °C,20.6 °C
8/27/2020,6.7 °C,35.5 °C,0.0 %RH,100.0 %RH,-4.5 °C,19.7 °C
8/28/2020,7.9 °C,35.8 °C,0.0 %RH,100.0 %RH,-13.0 °C,22.4 °C
8/29/2020,6.4 °C,27.4 °C,0.0 %RH,100.0 %RH,-31.7 °C,16.0 °C
8/30/2020,4.1 °C,32.6 °C,0.0 %RH,100.0 %RH,-31.7 °C,12.9 °C
8/31/2020,6.4 °C,35.4 °C,0.0 %RH,100.0 %RH,5.5 °C,20.0 °C
9/1/20,9.0 °C,25.4 °C,0.0 %RH,100.0 %RH,-26.5 °C,19.0 °C
9/2/20,7.3 °C,29.0 °C,0.0 %RH,100.0 %RH,-32.1 °C,22.5 °C
9/3/20,4.6 °C,31.0 °C,0.0 %RH,100.0 %RH,-21.0 °C,20.8 °C
9/4/20,4.6 °C,33.7 °C,0.0 %RH,100.0 %RH,-27.3 °C,21.4 °C
9/5/20,5.4 °C,35.9 °C,0.0 %RH,100.0 %RH,-28.8 °C,19.1 °C
9/6/20,9.2 °C,32.5 °C,0.0 %RH,100.0 %RH,-32.1 °C,26.3 °C
9/7/20,8.5 °C,29.4 °C,17.9 %RH,100.0 %RH,-13.2 °C,17.4 °C
9/8/20,4.3 °C,34.8 °C,0.0 %RH,100.0 %RH,-18.9 °C,16.5 °C
9/9/20,8.1 °C,34.7 °C,0.0 %RH,100.0 %RH,9.5 °C,18.8 °C
9/10/20,10.1 °C,30.3 °C,0.0 %RH,100.0 %RH,-25.6 °C,19.9 °C
9/11/20,8.5 °C,28.9 °C,0.0 %RH,100.0 %RH,-22.5 °C,15.1 °C
9/12/20,6.2 °C,31.0 °C,0.0 %RH,100.0 %RH,-11.7 °C,12.5 °C
9/13/2020,8.4 °C,35.9 °C,28.9 %RH,89.0 %RH,5.8 °C,15.0 °C
9/14/2020,11.6 °C,37.8 °C,24.5 %RH,69.0 %RH,2.5 °C,14.1 °C
9/15/2020,11.0 °C,42.7 °C,22.7 %RH,91.5 %RH,8.3 °C,18.1 °C
9/16/2020,12.7 °C,31.3 °C,0.0 %RH,100.0 %RH,-19.7 °C,17.6 °C
9/17/2020,8.6 °C,30.3 °C,0.0 %RH,100.0 %RH,5.4 °C,11.1 °C
9/18/2020,7.1 °C,37.8 °C,19.4 %RH,87.1 %RH,4.8 °C,10.5 °C
9/19/2020,6.7 °C,27.9 °C,0.0 %RH,100.0 %RH,-36.0 °C,17.0 °C
9/20/2020,5.9 °C,26.8 °C,0.0 %RH,100.0 %RH,-18.5 °C,13.1 °C
9/21/2020,4.0 °C,30.3 °C,0.0 %RH,100.0 %RH,-27.6 °C,14.3 °C
9/22/2020,4.4 °C,35.2 °C,0.0 %RH,100.0 %RH,-42.8 °C,14.8 °C
9/23/2020,6.6 °C,39.5 °C,16.9 %RH,100.0 %RH,0.6 °C,10.4 °C
9/24/2020,12.7 °C,36.5 °C,0.0 %RH,100.0 %RH,-11.3 °C,19.9 °C
9/25/2020,12.2 °C,38.8 °C,0.0 %RH,100.0 %RH,-4.2 °C,21.6 °C
9/26/2020,8.9 °C,35.1 °C,1.7 %RH,100.0 %RH,-39.3 °C,22.3 °C
9/27/2020,4.4 °C,37.5 °C,0.0 %RH,100.0 %RH,-14.7 °C,17.6 °C
9/28/2020,5.8 °C,41.9 °C,0.0 %RH,100.0 %RH,-36.7 °C,20.0 °C
9/29/2020,5.9 °C,45.4 °C,0.0 %RH,100.0 %RH,-35.1 °C,20.1 °C
9/30/2020,4.9 °C,47.5 °C,0.0 %RH,100.0 %RH,-16.5 °C,18.4 °C
10/1/20,7.5 °C,44.5 °C,0.0 %RH,100.0 %RH,-43.8 °C,21.3 °C
10/2/20,6.6 °C,35.0 °C,0.0 %RH,100.0 %RH,-26.4 °C,20.9 °C
10/3/20,5.7 °C,30.7 °C,26.1 %RH,100.0 %RH,-12.4 °C,16.4 °C
10/4/20,16.0 °C,18.1 °C,40.6 %RH,55.7 %RH,4.0 °C,7.1 °C
10/5/20,15.8 °C,18.0 °C,34.7 %RH,51.2 %RH,1.7 °C,5.8 °C
10/6/20,15.7 °C,18.5 °C,31.2 %RH,39.5 %RH,0.8 °C,2.2 °C
10/7/20,16.7 °C,25.6 °C,23.0 %RH,40.6 %RH,-2.3 °C,6.5 °C
10/8/20,18.3 °C,22.3 °C,40.1 %RH,98.3 %RH,6.5 °C,19.9 °C
10/9/20,18.3 °C,23.3 °C,49.8 %RH,60.6 %RH,7.7 °C,15.3 °C
10/10/20,22.6 °C,24.9 °C,50.0 %RH,56.6 %RH,13.1 °C,14.4 °C
10/11/20,22.9 °C,24.7 °C,47.2 %RH,50.0 %RH,11.1 °C,13.6 °C
10/12/20,23.1 °C,24.3 °C,48.6 %RH,50.9 %RH,11.7 °C,13.1 °C
10/13/2020,22.8 °C,23.9 °C,50.0 %RH,51.8 %RH,11.8 °C,13.0 °C
10/14/2020,21.8 °C,23.4 °C,50.3 %RH,52.3 %RH,11.1 °C,12.7 °C
10/15/2020,20.9 °C,22.8 °C,51.8 %RH,55.2 %RH,10.7 °C,13.2 °C
10/16/2020,21.7 °C,24.0 °C,53.7 %RH,74.9 %RH,12.2 °C,17.6 °C
10/17/2020,23.3 °C,24.2 °C,66.9 %RH,74.6 %RH,17.5 °C,19.1 °C
10/18/2020,23.3 °C,24.9 °C,69.5 %RH,82.1 %RH,17.5 °C,21.5 °C
10/19/2020,23.7 °C,24.9 °C,67.5 %RH,78.3 %RH,17.4 °C,20.9 °C
10/20/2020,23.8 °C,24.6 °C,63.9 %RH,70.4 %RH,16.6 °C,18.8 °C
10/21/2020,22.9 °C,25.0 °C,61.8 %RH,75.5 %RH,15.7 °C,20.4 °C
10/22/2020,23.5 °C,25.1 °C,74.0 %RH,85.2 %RH,19.7 °C,21.2 °C
10/23/2020,23.6 °C,25.5 °C,75.8 %RH,90.5 %RH,19.1 °C,23.8 °C
10/24/2020,25.4 °C,25.9 °C,0.0 %RH,100.0 %RH,22.7 °C,25.9 °C
10/25/2020,25.3 °C,26.2 °C,0.0 %RH,100.0 %RH,25.3 °C,26.2 °C
10/26/2020,23.5 °C,26.0 °C,0.0 %RH,100.0 %RH,22.4 °C,26.0 °C
10/27/2020,23.7 °C,25.9 °C,0.0 %RH,100.0 %RH,22.0 °C,25.9 °C
10/28/2020,23.7 °C,24.9 °C,94.7 %RH,100.0 %RH,23.1 °C,24.9 °C
10/29/2020,23.5 °C,25.7 °C,77.1 %RH,100.0 %RH,19.3 °C,25.7 °C
10/30/2020,23.4 °C,26.2 °C,70.4 %RH,100.0 %RH,17.8 °C,25.8 °C
10/31/2020,26.2 °C,27.3 °C,78.3 %RH,100.0 %RH,22.9 °C,26.3 °C
11/1/20,25.2 °C,27.8 °C,44.7 %RH,80.5 %RH,14.1 °C,23.1 °C
11/2/20,23.9 °C,27.8 °C,60.3 %RH,71.9 %RH,17.5 °C,20.1 °C
11/3/20,23.6 °C,25.8 °C,60.9 %RH,66.6 %RH,16.0 °C,18.6 °C
11/4/20,23.7 °C,25.7 °C,58.6 %RH,69.2 %RH,16.1 °C,19.5 °C
11/5/20,23.8 °C,25.9 °C,64.2 %RH,100.0 %RH,18.4 °C,25.8 °C
11/6/20,23.7 °C,25.9 °C,47.2 %RH,64.2 %RH,12.2 °C,18.5 °C
11/7/20,25.5 °C,27.1 °C,59.1 %RH,62.1 %RH,17.1 °C,19.1 °C
11/8/20,26.0 °C,26.9 °C,54.9 %RH,61.5 %RH,16.8 °C,18.6 °C
11/9/20,23.7 °C,26.0 °C,57.2 %RH,62.7 %RH,15.4 °C,17.4 °C
11/10/20,23.6 °C,25.1 °C,62.1 %RH,64.5 %RH,16.2 °C,17.7 °C
11/11/20,23.6 °C,25.6 °C,62.1 %RH,67.5 %RH,16.3 °C,19.0 °C
11/12/20,23.8 °C,25.8 °C,66.9 %RH,71.0 %RH,17.7 °C,19.6 °C
11/13/2020,23.8 °C,25.9 °C,65.4 %RH,85.5 %RH,17.7 °C,23.2 °C
11/14/2020,25.8 °C,28.4 °C,73.7 %RH,84.6 %RH,20.8 °C,25.5 °C
11/15/2020,27.5 °C,29.3 °C,80.2 %RH,85.8 %RH,24.4 °C,26.4 °C
11/16/2020,23.9 °C,29.2 °C,66.6 %RH,100.0 %RH,18.9 °C,27.2 °C
11/17/2020,23.8 °C,27.5 °C,70.1 %RH,100.0 %RH,20.0 °C,27.3 °C
11/18/2020,23.7 °C,26.5 °C,66.0 %RH,83.3 %RH,18.7 °C,23.3 °C
11/19/2020,23.7 °C,26.1 °C,64.2 %RH,74.0 %RH,17.9 °C,20.7 °C
11/20/2020,23.8 °C,26.2 °C,66.6 %RH,76.8 %RH,18.4 °C,20.9 °C
11/21/2020,26.1 °C,28.4 °C,66.3 %RH,73.4 %RH,20.5 °C,21.8 °C
11/22/2020,26.8 °C,28.3 °C,66.0 %RH,71.6 %RH,19.9 °C,22.4 °C
11/23/2020,23.8 °C,28.2 °C,60.3 %RH,91.5 %RH,18.0 °C,24.2 °C
11/24/2020,23.7 °C,27.1 °C,63.3 %RH,88.3 %RH,18.4 °C,23.4 °C
11/25/2020,23.6 °C,26.7 °C,63.0 %RH,80.2 %RH,18.0 °C,22.2 °C
11/26/2020,23.6 °C,26.4 °C,68.1 %RH,84.0 %RH,18.9 °C,22.5 °C
11/27/2020,23.9 °C,26.6 °C,68.7 %RH,80.2 %RH,19.2 °C,22.5 °C
11/28/2020,26.1 °C,28.3 °C,64.2 %RH,73.7 %RH,20.2 °C,21.7 °C
11/29/2020,27.1 °C,29.3 °C,67.2 %RH,73.7 %RH,20.7 °C,24.0 °C
11/30/2020,23.7 °C,29.1 °C,60.0 %RH,87.7 %RH,17.5 °C,24.0 °C
12/1/20,24.0 °C,27.5 °C,0.0 %RH,100.0 %RH,-28.4 °C,25.7 °C
12/2/20,24.0 °C,27.7 °C,0.0 %RH,100.0 %RH,-28.4 °C,27.7 °C
12/3/20,23.8 °C,28.0 °C,16.0 %RH,100.0 %RH,-0.2 °C,27.1 °C
12/4/20,23.7 °C,27.6 °C,0.0 %RH,100.0 %RH,-9.9 °C,27.6 °C
12/5/20,25.8 °C,26.8 °C,0.0 %RH,100.0 %RH,25.8 °C,26.8 °C
12/6/20,26.0 °C,27.1 °C,91.8 %RH,100.0 %RH,24.6 °C,27.1 °C
12/7/20,23.9 °C,27.1 °C,0.0 %RH,100.0 %RH,5.1 °C,27.1 °C
12/8/20,23.4 °C,27.2 °C,20.9 %RH,100.0 %RH,3.0 °C,25.9 °C
12/9/20,23.9 °C,26.7 °C,66.9 %RH,79.9 %RH,19.1 °C,22.5 °C
12/10/20,23.9 °C,26.6 °C,68.1 %RH,87.1 %RH,19.3 °C,22.9 °C
12/11/20,23.9 °C,26.8 °C,67.5 %RH,89.6 %RH,19.3 °C,22.8 °C
12/12/20,24.9 °C,26.1 °C,78.0 %RH,85.2 %RH,21.6 °C,23.2 °C
12/13/2020,25.3 °C,25.9 °C,85.2 %RH,96.0 %RH,23.1 °C,24.7 °C
12/14/2020,24.0 °C,25.5 °C,0.0 %RH,100.0 %RH,-14.7 °C,25.4 °C
12/15/2020,23.8 °C,26.4 °C,21.7 %RH,66.6 %RH,0.6 °C,19.7 °C
12/16/2020,24.1 °C,27.2 °C,0.0 %RH,81.8 %RH,-4.5 °C,22.6 °C
12/17/2020,24.0 °C,27.7 °C,0.0 %RH,100.0 %RH,-9.2 °C,26.2 °C
12/18/2020,24.1 °C,26.9 °C,0.0 %RH,81.2 %RH,-14.0 °C,22.7 °C
12/19/2020,26.9 °C,29.1 °C,4.2 %RH,70.7 %RH,-16.6 °C,21.1 °C
12/20/2020,28.3 °C,29.6 °C,0.0 %RH,5.3 %RH,-25.9 °C,-14.1 °C
12/21/2020,24.0 °C,29.5 °C,0.0 %RH,100.0 %RH,-16.2 °C,24.7 °C
12/22/2020,24.1 °C,27.6 °C,0.0 %RH,100.0 %RH,-23.2 °C,25.0 °C
12/23/2020,24.1 °C,27.1 °C,0.0 %RH,98.3 %RH,-20.0 °C,25.5 °C
12/24/2020,23.9 °C,26.3 °C,71.6 %RH,92.8 %RH,19.9 °C,23.8 °C
12/25/2020,24.2 °C,26.3 °C,79.0 %RH,97.3 %RH,21.5 °C,24.6 °C
12/26/2020,25.9 °C,27.7 °C,74.6 %RH,88.3 %RH,22.6 °C,23.9 °C
12/27/2020,26.6 °C,28.5 °C,74.9 %RH,79.9 %RH,22.6 °C,24.1 °C
12/28/2020,23.9 °C,28.3 °C,67.2 %RH,90.2 %RH,19.8 °C,25.2 °C
12/29/2020,24.0 °C,28.5 °C,76.2 %RH,100.0 %RH,20.8 °C,28.5 °C
12/30/2020,24.0 °C,29.1 °C,0.0 %RH,100.0 %RH,-24.9 °C,28.7 °C
12/31/2020,24.0 °C,27.5 °C,0.0 %RH,100.0 %RH,22.3 °C,27.5 °C
1/1/21,24.0 °C,27.8 °C,0.0 %RH,100.0 %RH,-17.0 °C,27.8 °C
1/2/21,27.6 °C,30.3 °C,79.0 %RH,100.0 %RH,26.1 °C,28.2 °C
1/3/21,29.2 °C,31.4 °C,75.2 %RH,85.8 %RH,25.9 °C,26.7 °C
1/4/21,24.2 °C,30.9 °C,66.0 %RH,100.0 %RH,20.0 °C,28.2 °C
1/5/21,24.3 °C,29.2 °C,13.3 %RH,100.0 %RH,-2.8 °C,28.5 °C
1/6/21,24.5 °C,28.8 °C,0.0 %RH,100.0 %RH,-15.9 °C,24.9 °C
1/7/21,23.9 °C,28.5 °C,0.0 %RH,100.0 %RH,-22.7 °C,26.9 °C
1/8/21,24.0 °C,27.1 °C,70.4 %RH,100.0 %RH,20.3 °C,27.0 °C
1/9/21,26.2 °C,28.0 °C,73.7 %RH,98.0 %RH,22.6 °C,26.0 °C
1/10/21,27.1 °C,29.1 °C,67.5 %RH,78.3 %RH,22.3 °C,23.7 °C
1/11/21,24.0 °C,28.8 °C,63.3 %RH,90.2 %RH,19.1 °C,23.7 °C
1/12/21,24.0 °C,27.7 °C,69.8 %RH,87.7 %RH,19.9 °C,24.6 °C
1/13/2021,23.9 °C,28.1 °C,67.8 %RH,91.8 %RH,19.6 °C,25.3 °C
1/14/2021,24.1 °C,28.4 °C,68.4 %RH,88.0 %RH,20.6 °C,26.1 °C
1/15/2021,24.2 °C,28.5 °C,68.1 %RH,87.1 %RH,20.5 °C,26.1 °C
