"Day","Month","Year","Measure","Value"
"3","6","20","maxHumid",100
"3","6","20","minDewPoint",-9.7
"3","6","20","maxDewPoint",29.6
"4","6","20","minTemp",6.7
"4","6","20","maxTemp",33
"4","6","20","minHumid",0
"4","6","20","maxHumid",100
"4","6","20","minDewPoint",-38.5
"4","6","20","maxDewPoint",29.8
"5","6","20","minTemp",6.7
"5","6","20","maxTemp",33.9
"5","6","20","minHumid",0
"5","6","20","maxHumid",100
"5","6","20","minDewPoint",-28.9
"5","6","20","maxDewPoint",30.8
"6","6","20","minTemp",9.5
"6","6","20","maxTemp",32.9
"6","6","20","minHumid",0
"6","6","20","maxHumid",100
"6","6","20","minDewPoint",-34.9
"6","6","20","maxDewPoint",30.9
"7","6","20","minTemp",9.8
"7","6","20","maxTemp",28
"7","6","20","minHumid",0
"7","6","20","maxHumid",100
"7","6","20","minDewPoint",-13.8
"7","6","20","maxDewPoint",26.2
"8","6","20","minTemp",7.3
"8","6","20","maxTemp",29.7
"8","6","20","minHumid",0
"8","6","20","maxHumid",100
"8","6","20","minDewPoint",-17.3
"8","6","20","maxDewPoint",29.7
"9","6","20","minTemp",5.8
"9","6","20","maxTemp",30.8
"9","6","20","minHumid",0
"9","6","20","maxHumid",100
"9","6","20","minDewPoint",-7.8
"9","6","20","maxDewPoint",30.5
"10","6","20","minTemp",6
"10","6","20","maxTemp",31.5
"10","6","20","minHumid",0
"10","6","20","maxHumid",100
"10","6","20","minDewPoint",-18.2
"10","6","20","maxDewPoint",30.8
"11","6","20","minTemp",11.6
"11","6","20","maxTemp",28.7
"11","6","20","minHumid",0
"11","6","20","maxHumid",96.6
"11","6","20","minDewPoint",-39
"11","6","20","maxDewPoint",28.1
"12","6","20","minTemp",5.7
"12","6","20","maxTemp",21.5
"12","6","20","minHumid",0
"12","6","20","maxHumid",100
"12","6","20","minDewPoint",-7.8
"12","6","20","maxDewPoint",16.9
"13","6","20","minTemp",3.4
"13","6","20","maxTemp",24.2
"13","6","20","minHumid",0
"13","6","20","maxHumid",100
"13","6","20","minDewPoint",-15.2
"13","6","20","maxDewPoint",18
"14","6","20","minTemp",5.2
"14","6","20","maxTemp",29.5
"14","6","20","minHumid",0
"14","6","20","maxHumid",100
"14","6","20","minDewPoint",-12.1
"14","6","20","maxDewPoint",29.5
"15","6","20","minTemp",5.4
"15","6","20","maxTemp",27.3
"15","6","20","minHumid",0
"15","6","20","maxHumid",100
"15","6","20","minDewPoint",-22.9
"15","6","20","maxDewPoint",27.3
"16","6","20","minTemp",5.5
"16","6","20","maxTemp",27.1
"16","6","20","minHumid",0
"16","6","20","maxHumid",100
"16","6","20","minDewPoint",-26.4
"16","6","20","maxDewPoint",27.1
"17","6","20","minTemp",4.4
"17","6","20","maxTemp",29.6
"17","6","20","minHumid",6.2
"17","6","20","maxHumid",100
"17","6","20","minDewPoint",-21.2
"17","6","20","maxDewPoint",29.6
"18","6","20","minTemp",5.9
"18","6","20","maxTemp",22.7
"18","6","20","minHumid",0
"18","6","20","maxHumid",100
"18","6","20","minDewPoint",-41.9
"18","6","20","maxDewPoint",14
"19","6","20","minTemp",1.9
"19","6","20","maxTemp",21.4
"19","6","20","minHumid",0
"19","6","20","maxHumid",100
"19","6","20","minDewPoint",-16.5
"19","6","20","maxDewPoint",12.8
"20","6","20","minTemp",3.3
"20","6","20","maxTemp",25.3
"20","6","20","minHumid",0
"20","6","20","maxHumid",100
"20","6","20","minDewPoint",-25.2
"20","6","20","maxDewPoint",22.9
"21","6","20","minTemp",4
"21","6","20","maxTemp",28.4
"21","6","20","minHumid",0
"21","6","20","maxHumid",100
"21","6","20","minDewPoint",-34.3
"21","6","20","maxDewPoint",28.4
"22","6","20","minTemp",9.4
"22","6","20","maxTemp",28.3
"22","6","20","minHumid",0
"22","6","20","maxHumid",100
"22","6","20","minDewPoint",-18.6
"22","6","20","maxDewPoint",28.3
"23","6","20","minTemp",8.9
"23","6","20","maxTemp",22.8
"23","6","20","minHumid",0
"23","6","20","maxHumid",61.5
"23","6","20","minDewPoint",-39.1
"23","6","20","maxDewPoint",15.1
"24","6","20","minTemp",6.4
"24","6","20","maxTemp",22.6
"24","6","20","minHumid",0
"24","6","20","maxHumid",100
"24","6","20","minDewPoint",-28.4
"24","6","20","maxDewPoint",16.8
"25","6","20","minTemp",6.1
"25","6","20","maxTemp",26.1
"25","6","20","minHumid",0
"25","6","20","maxHumid",100
"25","6","20","minDewPoint",-22
"25","6","20","maxDewPoint",25.8
"26","6","20","minTemp",4.5
"26","6","20","maxTemp",27.8
"26","6","20","minHumid",0
"26","6","20","maxHumid",100
"26","6","20","minDewPoint",-32.3
"26","6","20","maxDewPoint",27.4
"27","6","20","minTemp",6.8
"27","6","20","maxTemp",24.9
"27","6","20","minHumid",0
"27","6","20","maxHumid",100
"27","6","20","minDewPoint",-39.1
"27","6","20","maxDewPoint",19.5
"28","6","20","minTemp",10.9
"28","6","20","maxTemp",24.4
"28","6","20","minHumid",0
"28","6","20","maxHumid",75
"28","6","20","minDewPoint",-23.5
"28","6","20","maxDewPoint",19.7
"29","6","20","minTemp",11.2
"29","6","20","maxTemp",22.3
"29","6","20","minHumid",0
"29","6","20","maxHumid",53.9
"29","6","20","minDewPoint",-38.3
"29","6","20","maxDewPoint",12
"30","6","20","minTemp",8.6
"30","6","20","maxTemp",23.1
"30","6","20","minHumid",0
"30","6","20","maxHumid",61.8
"30","6","20","minDewPoint",-40.5
"30","6","20","maxDewPoint",13.8
"1","7","20","minTemp",7.6
"1","7","20","maxTemp",20.3
"1","7","20","minHumid",0
"1","7","20","maxHumid",73.2
"1","7","20","minDewPoint",-31.3
"1","7","20","maxDewPoint",10.7
"2","7","20","minTemp",5.2
"2","7","20","maxTemp",21.3
"2","7","20","minHumid",0
"2","7","20","maxHumid",100
"2","7","20","minDewPoint",-33.9
"2","7","20","maxDewPoint",14
"3","7","20","minTemp",4.5
"3","7","20","maxTemp",25.2
"3","7","20","minHumid",0
"3","7","20","maxHumid",100
"3","7","20","minDewPoint",-33.9
"3","7","20","maxDewPoint",24.2
"4","7","20","minTemp",7.1
"4","7","20","maxTemp",28.1
"4","7","20","minHumid",0
"4","7","20","maxHumid",100
"4","7","20","minDewPoint",-6.3
"4","7","20","maxDewPoint",28.1
"5","7","20","minTemp",4.1
"5","7","20","maxTemp",31.4
"5","7","20","minHumid",0
"5","7","20","maxHumid",100
"5","7","20","minDewPoint",-30.2
"5","7","20","maxDewPoint",29.3
"6","7","20","minTemp",7.8
"6","7","20","maxTemp",26.3
"6","7","20","minHumid",0
"6","7","20","maxHumid",100
"6","7","20","minDewPoint",-19
"6","7","20","maxDewPoint",23.5
"7","7","20","minTemp",4.3
"7","7","20","maxTemp",22.2
"7","7","20","minHumid",0
"7","7","20","maxHumid",100
"7","7","20","minDewPoint",-29.4
"7","7","20","maxDewPoint",12.8
"8","7","20","minTemp",4
"8","7","20","maxTemp",23.8
"8","7","20","minHumid",0
"8","7","20","maxHumid",100
"8","7","20","minDewPoint",-28.4
"8","7","20","maxDewPoint",18.2
"9","7","20","minTemp",1
"9","7","20","maxTemp",23.2
"9","7","20","minHumid",0.2
"9","7","20","maxHumid",100
"9","7","20","minDewPoint",-15.7
"9","7","20","maxDewPoint",19.3
"10","7","20","minTemp",3
"10","7","20","maxTemp",22.6
"10","7","20","minHumid",0
"10","7","20","maxHumid",100
"10","7","20","minDewPoint",-5
"10","7","20","maxDewPoint",19
"11","7","20","minTemp",2.1
"11","7","20","maxTemp",24.5
"11","7","20","minHumid",0
"11","7","20","maxHumid",100
"11","7","20","minDewPoint",-18.3
"11","7","20","maxDewPoint",23.4
"12","7","20","minTemp",3.6
"12","7","20","maxTemp",28
"12","7","20","minHumid",0
"12","7","20","maxHumid",100
"12","7","20","minDewPoint",-13.8
"12","7","20","maxDewPoint",28
"13","7","20","minTemp",3.4
"13","7","20","maxTemp",26.5
"13","7","20","minHumid",0
"13","7","20","maxHumid",100
"13","7","20","minDewPoint",-23.8
"13","7","20","maxDewPoint",26.2
"14","7","20","minTemp",9.1
"14","7","20","maxTemp",20.2
"14","7","20","minHumid",0
"14","7","20","maxHumid",100
"14","7","20","minDewPoint",-40.4
"14","7","20","maxDewPoint",13.8
"15","7","20","minTemp",3
"15","7","20","maxTemp",24.6
"15","7","20","minHumid",2.6
"15","7","20","maxHumid",100
"15","7","20","minDewPoint",-32.1
"15","7","20","maxDewPoint",23.2
"16","7","20","minTemp",5.4
"16","7","20","maxTemp",24.7
"16","7","20","minHumid",0
"16","7","20","maxHumid",100
"16","7","20","minDewPoint",-27.6
"16","7","20","maxDewPoint",20.1
"17","7","20","minTemp",4.4
"17","7","20","maxTemp",18.4
"17","7","20","minHumid",0
"17","7","20","maxHumid",100
"17","7","20","minDewPoint",-21.1
"17","7","20","maxDewPoint",8.5
"18","7","20","minTemp",1.9
"18","7","20","maxTemp",19.4
"18","7","20","minHumid",0
"18","7","20","maxHumid",100
"18","7","20","minDewPoint",-31.5
"18","7","20","maxDewPoint",8.6
"19","7","20","minTemp",3.2
"19","7","20","maxTemp",21.2
"19","7","20","minHumid",0
"19","7","20","maxHumid",100
"19","7","20","minDewPoint",-26
"19","7","20","maxDewPoint",18
"20","7","20","minTemp",4
"20","7","20","maxTemp",22.2
"20","7","20","minHumid",0
"20","7","20","maxHumid",100
"20","7","20","minDewPoint",-34.2
"20","7","20","maxDewPoint",19.9
"21","7","20","minTemp",3.4
"21","7","20","maxTemp",26.5
"21","7","20","minHumid",0
"21","7","20","maxHumid",100
"21","7","20","minDewPoint",-16.9
"21","7","20","maxDewPoint",25.3
"22","7","20","minTemp",5.1
"22","7","20","maxTemp",28.5
"22","7","20","minHumid",0
"22","7","20","maxHumid",100
"22","7","20","minDewPoint",-1.2
"22","7","20","maxDewPoint",28
"23","7","20","minTemp",5.5
"23","7","20","maxTemp",23.8
"23","7","20","minHumid",0
"23","7","20","maxHumid",100
"23","7","20","minDewPoint",-24.6
"23","7","20","maxDewPoint",23.2
"24","7","20","minTemp",2.4
"24","7","20","maxTemp",24.2
"24","7","20","minHumid",7.6
"24","7","20","maxHumid",100
"24","7","20","minDewPoint",-20.1
"24","7","20","maxDewPoint",24.2
"25","7","20","minTemp",2.5
"25","7","20","maxTemp",27.2
"25","7","20","minHumid",0
"25","7","20","maxHumid",100
"25","7","20","minDewPoint",-5.2
"25","7","20","maxDewPoint",27.2
"26","7","20","minTemp",4.6
"26","7","20","maxTemp",32
"26","7","20","minHumid",0
"26","7","20","maxHumid",100
"26","7","20","minDewPoint",-22.4
"26","7","20","maxDewPoint",27.7
"27","7","20","minTemp",4.6
"27","7","20","maxTemp",29.9
"27","7","20","minHumid",0
"27","7","20","maxHumid",100
"27","7","20","minDewPoint",-39.5
"27","7","20","maxDewPoint",29.5
"28","7","20","minTemp",7.9
"28","7","20","maxTemp",28
"28","7","20","minHumid",0
"28","7","20","maxHumid",100
"28","7","20","minDewPoint",-27.9
"28","7","20","maxDewPoint",23.9
"29","7","20","minTemp",3.5
"29","7","20","maxTemp",26.3
"29","7","20","minHumid",0
"29","7","20","maxHumid",100
"29","7","20","minDewPoint",-7.4
"29","7","20","maxDewPoint",25.2
"30","7","20","minTemp",4.3
"30","7","20","maxTemp",31.7
"30","7","20","minHumid",0
"30","7","20","maxHumid",100
"30","7","20","minDewPoint",-41.3
"30","7","20","maxDewPoint",28.5
"31","7","20","minTemp",3.9
"31","7","20","maxTemp",26.3
"31","7","20","minHumid",0
"31","7","20","maxHumid",100
"31","7","20","minDewPoint",-5.5
"31","7","20","maxDewPoint",25.4
"1","8","20","minTemp",5.5
"1","8","20","maxTemp",26.9
"1","8","20","minHumid",0
"1","8","20","maxHumid",100
"1","8","20","minDewPoint",-25.5
"1","8","20","maxDewPoint",26.9
"2","8","20","minTemp",5.2
"2","8","20","maxTemp",25.4
"2","8","20","minHumid",0
"2","8","20","maxHumid",100
"2","8","20","minDewPoint",-7.1
"2","8","20","maxDewPoint",25.4
"3","8","20","minTemp",4
"3","8","20","maxTemp",20.8
"3","8","20","minHumid",0
"3","8","20","maxHumid",100
"3","8","20","minDewPoint",-19.4
"3","8","20","maxDewPoint",11.1
"4","8","20","minTemp",5.6
"4","8","20","maxTemp",19.6
"4","8","20","minHumid",0
"4","8","20","maxHumid",100
"4","8","20","minDewPoint",-31.5
"4","8","20","maxDewPoint",10
"5","8","20","minTemp",3.6
"5","8","20","maxTemp",22.2
"5","8","20","minHumid",0
"5","8","20","maxHumid",100
"5","8","20","minDewPoint",-11.5
"5","8","20","maxDewPoint",17.2
"6","8","20","minTemp",5.1
"6","8","20","maxTemp",23.7
"6","8","20","minHumid",0
"6","8","20","maxHumid",100
"6","8","20","minDewPoint",-18.2
"6","8","20","maxDewPoint",23.7
"7","8","20","minTemp",3.9
"7","8","20","maxTemp",23
"7","8","20","minHumid",0
"7","8","20","maxHumid",100
"7","8","20","minDewPoint",-14.7
"7","8","20","maxDewPoint",18.7
"8","8","20","minTemp",6
"8","8","20","maxTemp",30.8
"8","8","20","minHumid",0.6
"8","8","20","maxHumid",100
"8","8","20","minDewPoint",-29.2
"8","8","20","maxDewPoint",27.4
"9","8","20","minTemp",10
"9","8","20","maxTemp",18.8
"9","8","20","minHumid",0
"9","8","20","maxHumid",100
"9","8","20","minDewPoint",-42.7
"9","8","20","maxDewPoint",14.2
"10","8","20","minTemp",8.3
"10","8","20","maxTemp",19.6
"10","8","20","minHumid",0
"10","8","20","maxHumid",70.9
"10","8","20","minDewPoint",-44
"10","8","20","maxDewPoint",11.7
"11","8","20","minTemp",9.9
"11","8","20","maxTemp",20.8
"11","8","20","minHumid",0
"11","8","20","maxHumid",81.2
"11","8","20","minDewPoint",-41.6
"11","8","20","maxDewPoint",11.5
"12","8","20","minTemp",8.7
"12","8","20","maxTemp",22.8
"12","8","20","minHumid",0
"12","8","20","maxHumid",100
"12","8","20","minDewPoint",-29.5
"12","8","20","maxDewPoint",18
"13","8","20","minTemp",6.3
"13","8","20","maxTemp",23.4
"13","8","20","minHumid",0
"13","8","20","maxHumid",100
"13","8","20","minDewPoint",-17.5
"13","8","20","maxDewPoint",23.2
"14","8","20","minTemp",2.8
"14","8","20","maxTemp",26.2
"14","8","20","minHumid",0
"14","8","20","maxHumid",100
"14","8","20","minDewPoint",-25.2
"14","8","20","maxDewPoint",26.2
"15","8","20","minTemp",5
"15","8","20","maxTemp",25.8
"15","8","20","minHumid",10.6
"15","8","20","maxHumid",100
"15","8","20","minDewPoint",-16.2
"15","8","20","maxDewPoint",24.9
"16","8","20","minTemp",7.8
"16","8","20","maxTemp",20.6
"16","8","20","minHumid",0
"16","8","20","maxHumid",73.2
"16","8","20","minDewPoint",-32.1
"16","8","20","maxDewPoint",15.7
"17","8","20","minTemp",5.6
"17","8","20","maxTemp",23.5
"17","8","20","minHumid",0
"17","8","20","maxHumid",96.6
"17","8","20","minDewPoint",-15.8
"17","8","20","maxDewPoint",22.9
"18","8","20","minTemp",6.8
"18","8","20","maxTemp",24.7
"18","8","20","minHumid",0
"18","8","20","maxHumid",100
"18","8","20","minDewPoint",-1
"18","8","20","maxDewPoint",24.7
"19","8","20","minTemp",4.4
"19","8","20","maxTemp",21.7
"19","8","20","minHumid",12.5
"19","8","20","maxHumid",100
"19","8","20","minDewPoint",-16.6
"19","8","20","maxDewPoint",21.3
"20","8","20","minTemp",5.4
"20","8","20","maxTemp",23.1
"20","8","20","minHumid",0
"20","8","20","maxHumid",100
"20","8","20","minDewPoint",-32.4
"20","8","20","maxDewPoint",21.7
"21","8","20","minTemp",6.8
"21","8","20","maxTemp",23.7
"21","8","20","minHumid",0
"21","8","20","maxHumid",100
"21","8","20","minDewPoint",-26.5
"21","8","20","maxDewPoint",20.6
"22","8","20","minTemp",10.1
"22","8","20","maxTemp",18.1
"22","8","20","minHumid",0
"22","8","20","maxHumid",33.5
"22","8","20","minDewPoint",-30.5
"22","8","20","maxDewPoint",1.8
"23","8","20","minTemp",7.6
"23","8","20","maxTemp",27.4
"23","8","20","minHumid",0
"23","8","20","maxHumid",100
"23","8","20","minDewPoint",-38.6
"23","8","20","maxDewPoint",27.4
"24","8","20","minTemp",3.6
"24","8","20","maxTemp",26.5
"24","8","20","minHumid",0
"24","8","20","maxHumid",100
"24","8","20","minDewPoint",-5.1
"24","8","20","maxDewPoint",26.1
"25","8","20","minTemp",3.5
"25","8","20","maxTemp",28
"25","8","20","minHumid",0
"25","8","20","maxHumid",100
"25","8","20","minDewPoint",-27.7
"25","8","20","maxDewPoint",26
"26","8","20","minTemp",4.2
"26","8","20","maxTemp",27.9
"26","8","20","minHumid",0
"26","8","20","maxHumid",100
"26","8","20","minDewPoint",-21.5
"26","8","20","maxDewPoint",25.9
"27","8","20","minTemp",5.9
"27","8","20","maxTemp",34.3
"27","8","20","minHumid",0
"27","8","20","maxHumid",100
"27","8","20","minDewPoint",-23.8
"27","8","20","maxDewPoint",28.3
"28","8","20","minTemp",6.8
"28","8","20","maxTemp",32.7
"28","8","20","minHumid",0
"28","8","20","maxHumid",100
"28","8","20","minDewPoint",-28.4
"28","8","20","maxDewPoint",29.1
"29","8","20","minTemp",5.3
"29","8","20","maxTemp",26.4
"29","8","20","minHumid",0
"29","8","20","maxHumid",100
"29","8","20","minDewPoint",-10.6
"29","8","20","maxDewPoint",25.1
"30","8","20","minTemp",3
"30","8","20","maxTemp",30.8
"30","8","20","minHumid",0
"30","8","20","maxHumid",100
"30","8","20","minDewPoint",-25.4
"30","8","20","maxDewPoint",27.4
"31","8","20","minTemp",5.4
"31","8","20","maxTemp",33.1
"31","8","20","minHumid",0
"31","8","20","maxHumid",100
"31","8","20","minDewPoint",-25.7
"31","8","20","maxDewPoint",32.4
"1","9","20","minTemp",7.1
"1","9","20","maxTemp",24.5
"1","9","20","minHumid",0
"1","9","20","maxHumid",100
"1","9","20","minDewPoint",-30.9
"1","9","20","maxDewPoint",21.3
"2","9","20","minTemp",6
"2","9","20","maxTemp",26.7
"2","9","20","minHumid",0
"2","9","20","maxHumid",100
"2","9","20","minDewPoint",-29.8
"2","9","20","maxDewPoint",26.7
"3","9","20","minTemp",2.6
"3","9","20","maxTemp",32.6
"3","9","20","minHumid",0
"3","9","20","maxHumid",100
"3","9","20","minDewPoint",-13.5
"3","9","20","maxDewPoint",28.9
"4","9","20","minTemp",3
"4","9","20","maxTemp",34.1
"4","9","20","minHumid",0
"4","9","20","maxHumid",100
"4","9","20","minDewPoint",-19.3
"4","9","20","maxDewPoint",28.3
"5","9","20","minTemp",3.9
"5","9","20","maxTemp",36.5
"5","9","20","minHumid",0
"5","9","20","maxHumid",100
"5","9","20","minDewPoint",-22.4
"5","9","20","maxDewPoint",28.3
"6","9","20","minTemp",7.5
"6","9","20","maxTemp",34.3
"6","9","20","minHumid",0
"6","9","20","maxHumid",100
"6","9","20","minDewPoint",-21.8
"6","9","20","maxDewPoint",29.5
"7","9","20","minTemp",7.5
"7","9","20","maxTemp",29.4
"7","9","20","minHumid",0
"7","9","20","maxHumid",100
"7","9","20","minDewPoint",-36.8
"7","9","20","maxDewPoint",27.8
"8","9","20","minTemp",3
"8","9","20","maxTemp",33.1
"8","9","20","minHumid",0
"8","9","20","maxHumid",100
"8","9","20","minDewPoint",-10.6
"8","9","20","maxDewPoint",28
"9","9","20","minTemp",6.7
"9","9","20","maxTemp",35.4
"9","9","20","minHumid",0
"9","9","20","maxHumid",100
"9","9","20","minDewPoint",-23.9
"9","9","20","maxDewPoint",32.6
"10","9","20","minTemp",9
"10","9","20","maxTemp",29.2
"10","9","20","minHumid",0
"10","9","20","maxHumid",100
"10","9","20","minDewPoint",-15.7
"10","9","20","maxDewPoint",27.8
"11","9","20","minTemp",7.6
"11","9","20","maxTemp",30.8
"11","9","20","minHumid",0
"11","9","20","maxHumid",100
"11","9","20","minDewPoint",-28.3
"11","9","20","maxDewPoint",29.2
"12","9","20","minTemp",5.1
"12","9","20","maxTemp",30.4
"12","9","20","minHumid",0
"12","9","20","maxHumid",100
"12","9","20","minDewPoint",-9.2
"12","9","20","maxDewPoint",28.5
"13","9","20","minTemp",7.1
"13","9","20","maxTemp",34.5
"13","9","20","minHumid",0
"13","9","20","maxHumid",100
"13","9","20","minDewPoint",-16.2
"13","9","20","maxDewPoint",28.8
"14","9","20","minTemp",11.1
"14","9","20","maxTemp",40.8
"14","9","20","minHumid",0
"14","9","20","maxHumid",100
"14","9","20","minDewPoint",-41.7
"14","9","20","maxDewPoint",31
"15","9","20","minTemp",10.3
"15","9","20","maxTemp",42.3
"15","9","20","minHumid",0
"15","9","20","maxHumid",100
"15","9","20","minDewPoint",-30.6
"15","9","20","maxDewPoint",36.7
"16","9","20","minTemp",12.5
"16","9","20","maxTemp",32.7
"16","9","20","minHumid",0
"16","9","20","maxHumid",100
"16","9","20","minDewPoint",-33.5
"16","9","20","maxDewPoint",28.2
"17","9","20","minTemp",8
"17","9","20","maxTemp",32.7
"17","9","20","minHumid",0
"17","9","20","maxHumid",100
"17","9","20","minDewPoint",-32.4
"17","9","20","maxDewPoint",28.6
"18","9","20","minTemp",6.3
"18","9","20","maxTemp",37.5
"18","9","20","minHumid",0
"18","9","20","maxHumid",100
"18","9","20","minDewPoint",-22.6
"18","9","20","maxDewPoint",27.1
"19","9","20","minTemp",6.1
"19","9","20","maxTemp",29.2
"19","9","20","minHumid",0
"19","9","20","maxHumid",100
"19","9","20","minDewPoint",-24.6
"19","9","20","maxDewPoint",28.5
"20","9","20","minTemp",5.2
"20","9","20","maxTemp",28.8
"20","9","20","minHumid",0
"20","9","20","maxHumid",100
"20","9","20","minDewPoint",-32.4
"20","9","20","maxDewPoint",28.8
"21","9","20","minTemp",2.1
"21","9","20","maxTemp",29.9
"21","9","20","minHumid",0
"21","9","20","maxHumid",100
"21","9","20","minDewPoint",-13.4
"21","9","20","maxDewPoint",28.7
"22","9","20","minTemp",2.5
"22","9","20","maxTemp",34.3
"22","9","20","minHumid",0
"22","9","20","maxHumid",100
"22","9","20","minDewPoint",-25.9
"22","9","20","maxDewPoint",27.5
"23","9","20","minTemp",5
"23","9","20","maxTemp",38.8
"23","9","20","minHumid",0
"23","9","20","maxHumid",100
"23","9","20","minDewPoint",-25.2
"23","9","20","maxDewPoint",31
"24","9","20","minTemp",11.7
"24","9","20","maxTemp",42.8
"24","9","20","minHumid",0
"24","9","20","maxHumid",78.7
"24","9","20","minDewPoint",-34.6
"24","9","20","maxDewPoint",38.4
"25","9","20","minTemp",12.9
"25","9","20","maxTemp",34.8
"25","9","20","minHumid",0
"25","9","20","maxHumid",100
"25","9","20","minDewPoint",-32
"25","9","20","maxDewPoint",27.1
"26","9","20","minTemp",9.7
"26","9","20","maxTemp",33.8
"26","9","20","minHumid",0
"26","9","20","maxHumid",100
"26","9","20","minDewPoint",-32
"26","9","20","maxDewPoint",30.3
"27","9","20","minTemp",5.2
"27","9","20","maxTemp",36.4
"27","9","20","minHumid",0
"27","9","20","maxHumid",100
"27","9","20","minDewPoint",-30
"27","9","20","maxDewPoint",30
"28","9","20","minTemp",6.9
"28","9","20","maxTemp",37.6
"28","9","20","minHumid",0
"28","9","20","maxHumid",100
"28","9","20","minDewPoint",-41.6
"28","9","20","maxDewPoint",29.7
"29","9","20","minTemp",5.6
"29","9","20","maxTemp",37.2
"29","9","20","minHumid",0
"29","9","20","maxHumid",100
"29","9","20","minDewPoint",-28.1
"29","9","20","maxDewPoint",30.3
"30","9","20","minTemp",4.7
"30","9","20","maxTemp",41.5
"30","9","20","minHumid",0
"30","9","20","maxHumid",100
"30","9","20","minDewPoint",-24.8
"30","9","20","maxDewPoint",34.9
"1","10","20","minTemp",7.4
"1","10","20","maxTemp",38.9
"1","10","20","minHumid",0
"1","10","20","maxHumid",100
"1","10","20","minDewPoint",-27.9
"1","10","20","maxDewPoint",28.3
"2","10","20","minTemp",6.5
"2","10","20","maxTemp",35.2
"2","10","20","minHumid",0
"2","10","20","maxHumid",100
"2","10","20","minDewPoint",-28.1
"2","10","20","maxDewPoint",30.5
"3","10","20","minTemp",5.5
"3","10","20","maxTemp",31.1
"3","10","20","minHumid",0
"3","10","20","maxHumid",100
"3","10","20","minDewPoint",-10.1
"3","10","20","maxDewPoint",28.7
"4","10","20","minTemp",16
"4","10","20","maxTemp",19.2
"4","10","20","minHumid",21.7
"4","10","20","maxHumid",39.4
"4","10","20","minDewPoint",-5.9
"4","10","20","maxDewPoint",5
"5","10","20","minTemp",15.8
"5","10","20","maxTemp",19.1
"5","10","20","minHumid",19.9
"5","10","20","maxHumid",38
"5","10","20","minDewPoint",-7.2
"5","10","20","maxDewPoint",4.4
"6","10","20","minTemp",15.6
"6","10","20","maxTemp",19.7
"6","10","20","minHumid",18.7
"6","10","20","maxHumid",41.2
"6","10","20","minDewPoint",-8.2
"6","10","20","maxDewPoint",6.1
"7","10","20","minTemp",16.7
"7","10","20","maxTemp",23.8
"7","10","20","minHumid",25.2
"7","10","20","maxHumid",70
"7","10","20","minDewPoint",-3.4
"7","10","20","maxDewPoint",18
"8","10","20","minTemp",18
"8","10","20","maxTemp",23
"8","10","20","minHumid",30.2
"8","10","20","maxHumid",64.7
"8","10","20","minDewPoint",0.3
"8","10","20","maxDewPoint",16
"9","10","20","minTemp",18.9
"9","10","20","maxTemp",28.3
"9","10","20","minHumid",31.4
"9","10","20","maxHumid",100
"9","10","20","minDewPoint",1.7
"9","10","20","maxDewPoint",28.3
"10","10","20","minTemp",22.4
"10","10","20","maxTemp",25.4
"10","10","20","minHumid",63.6
"10","10","20","maxHumid",84.3
"10","10","20","minDewPoint",15.2
"10","10","20","maxDewPoint",22.5
"11","10","20","minTemp",22.9
"11","10","20","maxTemp",24.9
"11","10","20","minHumid",65.6
"11","10","20","maxHumid",80.6
"11","10","20","minDewPoint",16.1
"11","10","20","maxDewPoint",21.3
"12","10","20","minTemp",23
"12","10","20","maxTemp",24.4
"12","10","20","minHumid",66.5
"12","10","20","maxHumid",76.6
"12","10","20","minDewPoint",16.5
"12","10","20","maxDewPoint",20
"13","10","20","minTemp",22.8
"13","10","20","maxTemp",23.9
"13","10","20","minHumid",63.6
"13","10","20","maxHumid",72.4
"13","10","20","minDewPoint",15.5
"13","10","20","maxDewPoint",18.6
"14","10","20","minTemp",21.7
"14","10","20","maxTemp",23.4
"14","10","20","minHumid",56.1
"14","10","20","maxHumid",68.2
"14","10","20","minDewPoint",12.6
"14","10","20","maxDewPoint",17.2
"15","10","20","minTemp",20.9
"15","10","20","maxTemp",22.9
"15","10","20","minHumid",50.2
"15","10","20","maxHumid",64.4
"15","10","20","minDewPoint",10.2
"15","10","20","maxDewPoint",15.8
"16","10","20","minTemp",21.8
"16","10","20","maxTemp",24.2
"16","10","20","minHumid",56.6
"16","10","20","maxHumid",73.8
"16","10","20","minDewPoint",12.8
"16","10","20","maxDewPoint",19.2
"17","10","20","minTemp",23.3
"17","10","20","maxTemp",24.2
"17","10","20","minHumid",67.4
"17","10","20","maxHumid",73.8
"17","10","20","minDewPoint",16.9
"17","10","20","maxDewPoint",19.3
"18","10","20","minTemp",23.3
"18","10","20","maxTemp",25
"18","10","20","minHumid",66.8
"18","10","20","maxHumid",79
"18","10","20","minDewPoint",16.7
"18","10","20","maxDewPoint",21.1
"19","10","20","minTemp",23.7
"19","10","20","maxTemp",24.9
"19","10","20","minHumid",69.4
"19","10","20","maxHumid",79
"19","10","20","minDewPoint",17.8
"19","10","20","maxDewPoint",21
"20","10","20","minTemp",23.8
"20","10","20","maxTemp",24.6
"20","10","20","minHumid",69.7
"20","10","20","maxHumid",76
"20","10","20","minDewPoint",17.9
"20","10","20","maxDewPoint",20.1
"21","10","20","minTemp",23
"21","10","20","maxTemp",25.1
"21","10","20","minHumid",64.1
"21","10","20","maxHumid",81.5
